Cle,PartOrganizationID,PartInstitution-…tablissement,ProvinceEN,ProvinceFR,CountryEN,CountryFR,FiscalYear-Exercice financier
452788,31206,PME Inc.,Alberta,Alberta,CANADA,CANADA,2010
452788,30195,Ledcor Group of Companies,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
458201,16623,Voice Construction Ltd.,Alberta,Alberta,CANADA,CANADA,2010
452788,16623,Voice Construction Ltd.,Alberta,Alberta,CANADA,CANADA,2010
458201,9455,Standard General Construction,Alberta,Alberta,CANADA,CANADA,2010
452788,9455,Standard General Construction,Alberta,Alberta,CANADA,CANADA,2010
458201,3051,Petro-Canada,Alberta,Alberta,CANADA,CANADA,2010
458201,25669,Clark Builders,Alberta,Alberta,CANADA,CANADA,2010
452788,25669,Clark Builders,Alberta,Alberta,CANADA,CANADA,2010
458201,25670,M & D Drafting,Alberta,Alberta,CANADA,CANADA,2010
452788,25670,M & D Drafting,Alberta,Alberta,CANADA,CANADA,2010
458201,26669,WorleyParsons HGE,Ontario,Ontario,CANADA,CANADA,2010
452788,26669,WorleyParsons HGE,Ontario,Ontario,CANADA,CANADA,2010
458201,24733,XL Ironworks Co.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
452788,24733,XL Ironworks Co.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
458201,24734,Flint Energy Services Ltd.,Alberta,Alberta,CANADA,CANADA,2010
452788,24734,Flint Energy Services Ltd.,Alberta,Alberta,CANADA,CANADA,2010
458201,28544,TIC Canada ULC,Alberta,Alberta,CANADA,CANADA,2010
452788,28544,TIC Canada ULC,Alberta,Alberta,CANADA,CANADA,2010
458201,30282,JV Driver Projects Ltd,Alberta,Alberta,CANADA,CANADA,2010
452788,30282,JV Driver Projects Ltd,Alberta,Alberta,CANADA,CANADA,2010
458201,9007,Alberco Construction Ltd,Alberta,Alberta,CANADA,CANADA,2010
452788,9007,Alberco Construction Ltd,Alberta,Alberta,CANADA,CANADA,2010
452788,13133,PCL Constructors Canada  Inc.,Alberta,Alberta,CANADA,CANADA,2010
458201,16879,Graham Industrial Services Ltd.,Alberta,Alberta,CANADA,CANADA,2010
452788,16879,Graham Industrial Services Ltd.,Alberta,Alberta,CANADA,CANADA,2010
458201,16610,Ledcor Industrial Ltd.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
452788,16610,Ledcor Industrial Ltd.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
458201,16612,Kellogg Brown & Root,Alberta,Alberta,CANADA,CANADA,2010
452788,16612,Kellogg Brown & Root,Alberta,Alberta,CANADA,CANADA,2010
458201,28036,Pacer Management Services Corp.,Alberta,Alberta,CANADA,CANADA,2010
458201,24730,Churchill Corporation,Alberta,Alberta,CANADA,CANADA,2010
452788,24730,Churchill Corporation,Alberta,Alberta,CANADA,CANADA,2010
458201,16613,Lockerbie & Hole Contracting Ltd.,Alberta,Alberta,CANADA,CANADA,2010
452788,16613,Lockerbie & Hole Contracting Ltd.,Alberta,Alberta,CANADA,CANADA,2010
458201,2600,City of Edmonton,Alberta,Alberta,CANADA,CANADA,2010
452788,2600,City of Edmonton,Alberta,Alberta,CANADA,CANADA,2010
458201,9000,Finning (Canada) Ltd.,Alberta,Alberta,CANADA,CANADA,2010
452788,9000,Finning (Canada) Ltd.,Alberta,Alberta,CANADA,CANADA,2010
458201,9454,PCL Constructors Inc.,Alberta,Alberta,CANADA,CANADA,2010
458201,10767,Colt Engineering Corporation,Alberta,Alberta,CANADA,CANADA,2010
452788,10767,Colt Engineering Corporation,Alberta,Alberta,CANADA,CANADA,2010
460903,9136,MinistËre des Ressources naturelles et Faune,QuÈbec,QuÈbec,CANADA,CANADA,2010
460903,3127,Ontario Ministry of Natural Resources,Ontario,Ontario,CANADA,CANADA,2010
460903,29018,Kongsberg Maritime Ltd,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2010
461168,2431,MDS Nordion,Ontario,Ontario,CANADA,CANADA,2010
460990,15096,Canadian Institutes of Health Research,Ontario,Ontario,CANADA,CANADA,2010
460915,6019,Xerox Research Centre of Canada,Ontario,Ontario,CANADA,CANADA,2010
460915,27847,Cleanfield Energy,Ontario,Ontario,CANADA,CANADA,2010
471655,3770,Raytheon Canada  Ltd,Ontario,Ontario,CANADA,CANADA,2010
471263,30534,SIRADEL,Ontario,Ontario,CANADA,CANADA,2010
472799,29364,Huawei Technologies Canada,Ontario,Ontario,CANADA,CANADA,2010
472840,27183,Platform Computing Inc.,Ontario,Ontario,CANADA,CANADA,2010
460841,18461,Motion Metrics International Corp.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
460841,6021,National Research Council of Canada,Ontario,Ontario,CANADA,CANADA,2010
460636,16103,Alberta Energy Research Institute,Alberta,Alberta,CANADA,CANADA,2010
460636,11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2010
460636,9855,Fekete Associates Inc.,Alberta,Alberta,CANADA,CANADA,2010
460636,17033,ConocoPhillips Canada Resources Corp.,Alberta,Alberta,CANADA,CANADA,2010
460636,30749,Alberta Innovates - Energy & Env Solutions,Alberta,Alberta,CANADA,CANADA,2010
460944,26466,QPS Photronics Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
473219,26600,OneChip Photonics Inc,Ontario,Ontario,CANADA,CANADA,2010
471592,26274,Applied Nanotools Inc.,Alberta,Alberta,CANADA,CANADA,2010
471170,30842,MuxLab Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
471404,14330,Cistel Technology Inc.,Ontario,Ontario,CANADA,CANADA,2010
467390,26740,New World Laboratories Inc,QuÈbec,QuÈbec,CANADA,CANADA,2010
468522,2895,Saputo Division Boulangerie,QuÈbec,QuÈbec,CANADA,CANADA,2010
468522,23062,Excel Pac,QuÈbec,QuÈbec,CANADA,CANADA,2010
471558,30950,OK Builders Supplies Ltd.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
468651,2843,Dillon Consulting Ltd,Ontario,Ontario,CANADA,CANADA,2010
468022,30644,BAH Enterprises Inc.,Ontario,Ontario,CANADA,CANADA,2010
463419,23050,LxSix Photonics,QuÈbec,QuÈbec,CANADA,CANADA,2010
457600,5994,Bell Canada,Ontario,Ontario,CANADA,CANADA,2010
457600,19718,James Schellenberg Inc.,Manitoba,Manitoba,CANADA,CANADA,2010
457600,19719,Centara Corporation,Manitoba,Manitoba,CANADA,CANADA,2010
463481,18480,Aurel Systems Inc.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
462909,27742,Xstrata Copper Canada,Ontario,Ontario,CANADA,CANADA,2010
462070,6044,Natural Resources Canada,Ontario,Ontario,CANADA,CANADA,2010
471423,30344,Broadsword Corrosion Engineering Ltd,Alberta,Alberta,CANADA,CANADA,2010
462070,5911,Atomic Energy of Canada Ltd,Ontario,Ontario,CANADA,CANADA,2010
463481,4405,Hudson Bay Mining & Smelting Co Ltd,Manitoba,Manitoba,CANADA,CANADA,2010
463481,5109,Canadian Electrolytic Zinc,QuÈbec,QuÈbec,CANADA,CANADA,2010
462950,16600,Teck Cominco Metals Ltd.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
467500,10467,Westport Innovations Inc.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
471826,10101,Cominco Engineering Services Ltd,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
464069,29112,AECOM,Ontario,Ontario,CANADA,CANADA,2010
458202,6158,Lafarge Canada Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
458202,23972,Landmark Master Builder,Alberta,Alberta,CANADA,CANADA,2010
458202,2669,Inland Cement,Manitoba,Manitoba,CANADA,CANADA,2010
463140,29300,PCL Industrial Management Inc,Alberta,Alberta,CANADA,CANADA,2010
459836,8987,Standard Aero Ltd.,Manitoba,Manitoba,CANADA,CANADA,2010
463177,13770,Ocean Nutrition Canada Ltd,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2010
463177,18637,BIOX Corporation,Ontario,Ontario,CANADA,CANADA,2010
455785,2559,General Motors of Canada Ltd,Ontario,Ontario,CANADA,CANADA,2010
468538,2559,General Motors of Canada Ltd,Ontario,Ontario,CANADA,CANADA,2010
462994,6787,Pratt & Whitney Canada Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
455791,6787,Pratt & Whitney Canada Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
462994,15286,Bombardier Aerospace,QuÈbec,QuÈbec,CANADA,CANADA,2010
462994,29417,Memex Automation Inc.,Ontario,Ontario,CANADA,CANADA,2010
462994,29458,Origin International Inc.,Ontario,Ontario,CANADA,CANADA,2010
462994,29908,Promation Engineering Ltd,Ontario,Ontario,CANADA,CANADA,2010
462994,9424,Sensor Technology Ltd,Ontario,Ontario,CANADA,CANADA,2010
462994,64,…cole Polytechnique de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2010
462994,31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
462994,27,McMaster University,Ontario,Ontario,CANADA,CANADA,2010
462994,29907,ASCO Aerospace Canada Ltd,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
462994,6021,National Research Council of Canada,Ontario,Ontario,CANADA,CANADA,2010
462994,2396,Canada Centre for Mineral and Energy Technology,Alberta,Alberta,CANADA,CANADA,2010
462994,10570,Automation Tooling Systems Inc.,Ontario,Ontario,CANADA,CANADA,2010
463446,2402,IBM Canada Ltd,Ontario,Ontario,CANADA,CANADA,2010
463765,29127,Advanced Micro Devices,Ontario,Ontario,CANADA,CANADA,2010
459220,15096,Canadian Institutes of Health Research,Ontario,Ontario,CANADA,CANADA,2010
459259,15096,Canadian Institutes of Health Research,Ontario,Ontario,CANADA,CANADA,2010
459259,2212,Ottawa Hospital - Civic Campus,Ontario,Ontario,CANADA,CANADA,2010
459259,6207,Cognos Corporation,Ontario,Ontario,CANADA,CANADA,2010
467598,23756,Professional Loss Control,New Brunswick,Nouveau-Brunswick,CANADA,CANADA,2010
467598,6603,Martec Limited,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2010
467598,30487,"Fauske & Associates, LLC",Illinois,Illinois,UNITED STATES,…TATS-UNIS,2010
463466,2402,IBM Canada Ltd,Ontario,Ontario,CANADA,CANADA,2010
473224,31893,Indellient Inc.,Ontario,Ontario,CANADA,CANADA,2010
472141,14583,Kelsan Technologies Corporation,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
463384,29481,Kingfisher International Inc.,Ontario,Ontario,CANADA,CANADA,2010
463384,22924,CanCog Technologies Inc.,Ontario,Ontario,CANADA,CANADA,2010
463384,17229,Bioniche Life Sciences Inc.,Ontario,Ontario,CANADA,CANADA,2010
464843,6465,Hydro-Quebec,QuÈbec,QuÈbec,CANADA,CANADA,2010
464843,23230,"MinistËre du DÈveloppement durable, de l'Environnement et des Parcs",QuÈbec,QuÈbec,CANADA,CANADA,2010
462112,6044,Natural Resources Canada,Ontario,Ontario,CANADA,CANADA,2010
462112,5911,Atomic Energy of Canada Ltd,Ontario,Ontario,CANADA,CANADA,2010
471673,22045,Agri-Futures Nova Scotia,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2010
471673,23206,Canadian Poultry Research Council,Ontario,Ontario,CANADA,CANADA,2010
463528,6396,Kraft Canada Inc.,Ontario,Ontario,CANADA,CANADA,2010
463528,10435,Dairy Farmers of Ontario,Ontario,Ontario,CANADA,CANADA,2010
472972,9896,Research in Motion Limited,Ontario,Ontario,CANADA,CANADA,2010
459179,7056,GE Zenon ULC,Ontario,Ontario,CANADA,CANADA,2010
459179,24988,Environmental Biodetection Products Inc.,Ontario,Ontario,CANADA,CANADA,2010
459179,25499,The Regional Municipality of Halton,Ontario,Ontario,CANADA,CANADA,2010
459179,10352,City of Toronto,Ontario,Ontario,CANADA,CANADA,2010
459179,5439,Hydromantis Inc.,Ontario,Ontario,CANADA,CANADA,2010
459179,24071,Pathogen Detection Systems Inc.,Ontario,Ontario,CANADA,CANADA,2010
459179,22892,Calgon Carbon Corporation,Ontario,Ontario,CANADA,CANADA,2010
459179,25500,Peterborough Utilities Services Inc.,Ontario,Ontario,CANADA,CANADA,2010
459179,25501,Town of Parry Sound,Ontario,Ontario,CANADA,CANADA,2010
459179,31,University of Toronto,Ontario,Ontario,CANADA,CANADA,2010
471361,30878,Spatial View Inc. (CAN),Ontario,Ontario,CANADA,CANADA,2010
462181,2559,General Motors of Canada Ltd,Ontario,Ontario,CANADA,CANADA,2010
459233,24630,Calgary Scientific Inc.,Alberta,Alberta,CANADA,CANADA,2010
459233,15096,Canadian Institutes of Health Research,Ontario,Ontario,CANADA,CANADA,2010
459234,15096,Canadian Institutes of Health Research,Ontario,Ontario,CANADA,CANADA,2010
459234,11,University of Calgary,Alberta,Alberta,CANADA,CANADA,2010
462934,29331,OSEMI Canada Inc,QuÈbec,QuÈbec,CANADA,CANADA,2010
459202,22993,Novelis Inc.,Ontario,Ontario,CANADA,CANADA,2010
471529,17229,Bioniche Life Sciences Inc.,Ontario,Ontario,CANADA,CANADA,2010
460939,6734,SaskPower,Saskatchewan,Saskatchewan,CANADA,CANADA,2010
460939,11870,Stantec Consulting Ltd,Alberta,Alberta,CANADA,CANADA,2010
460961,31294,Conf. rÈgionale des Èlus de l'Outaouais,QuÈbec,QuÈbec,CANADA,CANADA,2010
460961,27890,Commission des ressources naturelles et du Territoire des Laurentides,QuÈbec,QuÈbec,CANADA,CANADA,2010
460961,27908,ConfÈrence rÈgionale des Ètus de l'Outaouais,QuÈbec,QuÈbec,CANADA,CANADA,2010
460961,27909,ConfÈrence rÈgionale des Èlus de LanaudiËre,QuÈbec,QuÈbec,CANADA,CANADA,2010
460961,9136,MinistËre des Ressources naturelles et Faune,QuÈbec,QuÈbec,CANADA,CANADA,2010
471462,30815,SOC Robotics Inc.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
471657,16148,Cooper Standard Automotive,Ontario,Ontario,CANADA,CANADA,2010
462890,6019,Xerox Research Centre of Canada,Ontario,Ontario,CANADA,CANADA,2010
471510,14539,Newmont Mining Corporation of Canada Ltd.,Ontario,Ontario,CANADA,CANADA,2010
468914,11886,Canadian Autoparts Toyota Inc.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
471497,10101,Cominco Engineering Services Ltd,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
467312,6482,Tembec Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
467312,6278,Domtar Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
463032,6787,Pratt & Whitney Canada Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
463032,6033,Bombardier Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
460837,1754,Woodbridge Foam Corporation,Ontario,Ontario,CANADA,CANADA,2010
463032,2954,Bell Helicopter Textron Canada,QuÈbec,QuÈbec,CANADA,CANADA,2010
456996,6465,Hydro-Quebec,QuÈbec,QuÈbec,CANADA,CANADA,2010
456996,25433,St. Lawrence College,Ontario,Ontario,CANADA,CANADA,2010
456996,22912,Les Maisons Alouette,QuÈbec,QuÈbec,CANADA,CANADA,2010
456996,6044,Natural Resources Canada,Ontario,Ontario,CANADA,CANADA,2010
456996,14616,EnerWorks Inc.,Ontario,Ontario,CANADA,CANADA,2010
456996,22172,Canlyte Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
456996,22579,Advanced Glazings,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2010
456996,18680,"Spheral Solar Power, Inc.",Ontario,Ontario,CANADA,CANADA,2010
456996,2513,Canada Mortgage and Housing Corporation,Ontario,Ontario,CANADA,CANADA,2010
456996,14648,Arise Technologies Corporation,Ontario,Ontario,CANADA,CANADA,2010
456996,16435,Xantrex Technology Inc.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
456996,22917,Conserval Engineering Inc.,Ontario,Ontario,CANADA,CANADA,2010
456996,22918,SOMFY Canada,Ontario,Ontario,CANADA,CANADA,2010
456996,27749,Regulvar,QuÈbec,QuÈbec,CANADA,CANADA,2010
456996,27750,Matrix Energy Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
456996,27751,Day4 Energy Inc.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
456996,36,University of Western Ontario,Ontario,Ontario,CANADA,CANADA,2010
456996,22916,Thermotech Windows Ltd,Ontario,Ontario,CANADA,CANADA,2010
456996,22923,PEI Energy Corporation,Prince Edward Island,Œle-du-Prince-…douard,CANADA,CANADA,2010
456996,27628,Unicel Architectural Corp,QuÈbec,QuÈbec,CANADA,CANADA,2010
472085,25023,McKesson Medical Imaging Group,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
460998,15096,Canadian Institutes of Health Research,Ontario,Ontario,CANADA,CANADA,2010
455783,5093,Agnico-Eagle Mines Ltd,Ontario,Ontario,CANADA,CANADA,2010
455783,9460,Barrick Gold Corporation,Ontario,Ontario,CANADA,CANADA,2010
455783,6697,Rio Algom Limited,Ontario,Ontario,CANADA,CANADA,2010
455783,6705,Noranda Inc.,Ontario,Ontario,CANADA,CANADA,2010
455783,6498,SNC - Lavalin Group Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
455783,6615,QIT-Fer et Titane inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
455783,6417,Golder Associates Ltd (CAN),Ontario,Ontario,CANADA,CANADA,2010
463269,27824,Boston Brace International Inc,Massachusetts,Massachusetts,UNITED STATES,…TATS-UNIS,2010
458887,2225,HÙpital Sainte-Justine,QuÈbec,QuÈbec,CANADA,CANADA,2010
463269,27827,OrthËse-ProthËse Rive-Sud Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
463269,27829,Lagarrigue Aquitaine SARL,,,FRANCE,FRANCE,2010
458887,6609,Medtronic of Canada Ltd,Ontario,Ontario,CANADA,CANADA,2010
460905,6142,Fisheries and Oceans Canada,Ontario,Ontario,CANADA,CANADA,2010
460974,15096,Canadian Institutes of Health Research,Ontario,Ontario,CANADA,CANADA,2010
461003,15096,Canadian Institutes of Health Research,Ontario,Ontario,CANADA,CANADA,2010
460865,26604,FPInnovations,QuÈbec,QuÈbec,CANADA,CANADA,2010
468449,2563,Clifton and Associates Ltd.,Saskatchewan,Saskatchewan,CANADA,CANADA,2010
471905,4148,CAMECO Corp,Saskatchewan,Saskatchewan,CANADA,CANADA,2010
467596,7375,EXFO Electro-Optical Engineering,QuÈbec,QuÈbec,CANADA,CANADA,2010
467596,6210,Industry Canada,Ontario,Ontario,CANADA,CANADA,2010
462893,2373,Dalsa Corporation,Ontario,Ontario,CANADA,CANADA,2010
463475,17851,Husky Energy Inc.,Alberta,Alberta,CANADA,CANADA,2010
463474,27099,Laricina Energy Ltd,Alberta,Alberta,CANADA,CANADA,2010
459272,27148,Aurelium BioPharma Inc,QuÈbec,QuÈbec,CANADA,CANADA,2010
459272,15096,Canadian Institutes of Health Research,Ontario,Ontario,CANADA,CANADA,2010
459272,16970,Centre Hospitalier de l'UniversitÈ de MontrÈal - Pavillon Saint-Luc,QuÈbec,QuÈbec,CANADA,CANADA,2010
463508,17382,Dalsa Semiconductor,QuÈbec,QuÈbec,CANADA,CANADA,2010
467842,17382,Dalsa Semiconductor,QuÈbec,QuÈbec,CANADA,CANADA,2010
471426,29771,REV Technologies Inc.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
473201,31842,Cool-It Hi Way Services Inc.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
471768,30502,AirTest Technologies Inc.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
471918,21763,Nokia Products Ltd.,Ontario,Ontario,CANADA,CANADA,2010
471920,16449,Canadian Natural Resources Limited,Alberta,Alberta,CANADA,CANADA,2010
471920,4181,Suncor Energy Inc.,Alberta,Alberta,CANADA,CANADA,2010
471920,6431,Syncrude Canada Ltd,Alberta,Alberta,CANADA,CANADA,2010
471920,6818,Shell Canada Ltd,Alberta,Alberta,CANADA,CANADA,2010
471920,25108,Total E&P Canada Ltd.,Alberta,Alberta,CANADA,CANADA,2010
471920,6323,Imperial Oil Resources Ltd,Alberta,Alberta,CANADA,CANADA,2010
459211,9548,Bristol-Myers Squibb Canada Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
459211,24793,Saponin Inc.,Saskatchewan,Saskatchewan,CANADA,CANADA,2010
467061,31615,Incobec,QuÈbec,QuÈbec,CANADA,CANADA,2010
467061,6559,Lallemand Inc.,Ontario,Ontario,CANADA,CANADA,2010
467061,30482,Couvoir Scott Ltee,QuÈbec,QuÈbec,CANADA,CANADA,2010
467061,30784,Conseil pour le dÈv. de l'agri. du QC.,QuÈbec,QuÈbec,CANADA,CANADA,2010
467061,27656,Centre de recherche en sciences animales de Deschambault,QuÈbec,QuÈbec,CANADA,CANADA,2010
473171,26361,BroadbandTV Corp.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
460668,27634,Mount Polley Mining Corporation,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
460668,17220,Teck Cominco Limited,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
460668,28121,Nature Works Remediation Corp.,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
460668,16305,Genome British Columbia,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
455784,15169,GÈoLab inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
455784,10857,Centre d'expertise et de recherche en infrastructures urbaines,QuÈbec,QuÈbec,CANADA,CANADA,2010
455784,3903,Geophysique GPR International Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
455784,21128,Advitam Solutions Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
455784,10718,The S.M. Group International Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
455784,17446,St. Lawrence Seaway Management Corporation,Ontario,Ontario,CANADA,CANADA,2010
455784,3292,MinistËre des Transports du QuÈbec,QuÈbec,QuÈbec,CANADA,CANADA,2010
455784,6465,Hydro-Quebec,QuÈbec,QuÈbec,CANADA,CANADA,2010
455784,6714,Roctest LtÈe,QuÈbec,QuÈbec,CANADA,CANADA,2010
455784,10867,Techmat Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
461673,28436,Kivalliq Energy Corporation,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
461673,28437,Kaminak Gold Corporation,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
463394,29371,SiliconPro Inc,Ontario,Ontario,CANADA,CANADA,2010
471795,29281,Thales Canada Inc,QuÈbec,QuÈbec,CANADA,CANADA,2010
458825,17862,Saskatchewan Pulse Growers,Saskatchewan,Saskatchewan,CANADA,CANADA,2010
468705,4560,Tricon Concrete Finishing Co Ltd,Ontario,Ontario,CANADA,CANADA,2010
460869,6465,Hydro-Quebec,QuÈbec,QuÈbec,CANADA,CANADA,2010
460869,24964,Canadian Air Transport Security Authority,Ontario,Ontario,CANADA,CANADA,2010
460869,21165,TISEC Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
460869,23050,LxSix Photonics,QuÈbec,QuÈbec,CANADA,CANADA,2010
458090,5091,Ville de MontrÈal,QuÈbec,QuÈbec,CANADA,CANADA,2010
458090,4069,Ville de Laval,QuÈbec,QuÈbec,CANADA,CANADA,2010
458090,2486,John Meunier Inc.,QuÈbec,QuÈbec,CANADA,CANADA,2010
460909,14989,Nature Conservancy of Canada,Ontario,Ontario,CANADA,CANADA,2010
460909,10220,Natural Resources,New Brunswick,Nouveau-Brunswick,CANADA,CANADA,2010
460909,6059,Environment Canada,QuÈbec,QuÈbec,CANADA,CANADA,2010
460909,3153,Department of Natural Resources - NS,Nova Scotia,Nouvelle-…cosse,CANADA,CANADA,2010
459721,2601,Canadian Space Agency,QuÈbec,QuÈbec,CANADA,CANADA,2010
471792,2555,Defence Research and Development Canada,Ontario,Ontario,CANADA,CANADA,2010
459721,27057,"MacDonald, Dettwiler and Associates Inc.",Ontario,Ontario,CANADA,CANADA,2010
471792,27057,"MacDonald, Dettwiler and Associates Inc.",Ontario,Ontario,CANADA,CANADA,2010
461672,15908,Marine Harvest Canada Ltd,British Columbia,Colombie-Britannique,CANADA,CANADA,2010
